site,year,ions,avg_ion_conc
Q1,1988-03-29,k_con,0.965625
Q1,1988-03-29,nitrate_con,207.7058823529412
Q1,1988-03-29,mg_con,1.766470588235294
Q1,1988-03-29,ca_con,2.7076470588235293
Q1,1988-03-29,amm_con,38.88235294117647
Q1,1988-03-29,k_con,0.965625
Q1,1988-03-29,nitrate_con,207.7058823529412
Q1,1988-03-29,mg_con,1.766470588235294
Q1,1988-03-29,ca_con,2.7076470588235293
Q1,1988-03-29,amm_con,38.88235294117647
Q1,1988-03-29,k_con,0.965625
Q1,1988-03-29,nitrate_con,207.7058823529412
Q1,1988-03-29,mg_con,1.766470588235294
Q1,1988-03-29,ca_con,2.7076470588235293
Q1,1988-03-29,amm_con,38.88235294117647
Q1,1988-03-29,k_con,0.965625
Q1,1988-03-29,nitrate_con,207.7058823529412
Q1,1988-03-29,mg_con,1.766470588235294
Q1,1988-03-29,ca_con,2.7076470588235293
Q1,1988-03-29,amm_con,38.88235294117647
Q1,1988-03-29,k_con,0.965625
Q1,1988-03-29,nitrate_con,207.7058823529412
Q1,1988-03-29,mg_con,1.766470588235294
Q1,1988-03-29,ca_con,2.7076470588235293
Q1,1988-03-29,amm_con,38.88235294117647
Q1,1988-04-05,k_con,0.8788888888888888
Q1,1988-04-05,nitrate_con,150.5
Q1,1988-04-05,mg_con,2.191
Q1,1988-04-05,ca_con,3.1069999999999998
Q1,1988-04-05,amm_con,60.9
Q1,1988-04-12,k_con,0.8766666666666667
Q1,1988-04-12,nitrate_con,151.7
Q1,1988-04-12,mg_con,2.251
Q1,1988-04-12,ca_con,3.19
Q1,1988-04-12,amm_con,64.2
Q1,1988-04-19,k_con,0.8855555555555555
Q1,1988-04-19,nitrate_con,152.88888888888889
Q1,1988-04-19,mg_con,2.259
Q1,1988-04-19,ca_con,3.121
Q1,1988-04-19,amm_con,67.6
Q1,1988-04-26,k_con,0.8811111111111111
Q1,1988-04-26,nitrate_con,153.25
Q1,1988-04-26,mg_con,2.197
Q1,1988-04-26,ca_con,3.005
Q1,1988-04-26,amm_con,81.8
Q1,1988-05-03,k_con,0.8777777777777778
Q1,1988-05-03,nitrate_con,154.85714285714286
Q1,1988-05-03,mg_con,2.181
Q1,1988-05-03,ca_con,3.062
Q1,1988-05-03,amm_con,87.77777777777777
Q1,1988-05-10,k_con,0.8811111111111111
Q1,1988-05-10,nitrate_con,157.5
Q1,1988-05-10,mg_con,2.183
Q1,1988-05-10,ca_con,2.985
Q1,1988-05-10,amm_con,90.625
Q1,1988-05-10,k_con,0.8811111111111111
Q1,1988-05-10,nitrate_con,157.5
Q1,1988-05-10,mg_con,2.183
Q1,1988-05-10,ca_con,2.985
Q1,1988-05-10,amm_con,90.625
Q1,1988-05-10,k_con,0.8811111111111111
Q1,1988-05-10,nitrate_con,157.5
Q1,1988-05-10,mg_con,2.183
Q1,1988-05-10,ca_con,2.985
Q1,1988-05-10,amm_con,90.625
Q1,1988-05-10,k_con,0.8811111111111111
